Time[s], Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7, Channel 8
175.781473000000005, 0, 0, 0, 0, 0, 0, 0, 0, 1
176.066579999999988, 0, 0, 0, 0, 0, 0, 0, 0, 0
176.777178999999990, 1, 0, 0, 0, 0, 0, 0, 0, 0
176.784845999999987, 1, 0, 0, 0, 0, 0, 0, 0, 1
176.785617000000002, 1, 0, 0, 1, 0, 0, 0, 0, 1
176.792352999999991, 1, 0, 0, 1, 0, 0, 0, 1, 1
176.804500999999988, 1, 0, 0, 1, 0, 0, 1, 1, 1
177.026750999999990, 1, 0, 0, 1, 1, 0, 1, 1, 1
177.063400000000001, 0, 0, 0, 1, 1, 0, 1, 1, 1
177.069952000000001, 0, 0, 0, 1, 1, 0, 1, 1, 0
177.070952000000005, 0, 0, 0, 0, 1, 0, 1, 1, 0
177.079510999999997, 0, 0, 0, 0, 1, 0, 1, 0, 0
177.091499999999996, 0, 0, 0, 0, 1, 0, 0, 0, 0
177.312254999999993, 0, 0, 0, 0, 0, 0, 0, 0, 0
177.784375999999980, 0, 0, 0, 0, 0, 0, 0, 0, 1
178.069482999999991, 0, 0, 0, 0, 0, 0, 0, 0, 0
178.785827999999981, 0, 0, 0, 0, 0, 0, 0, 0, 1
179.070920000000001, 0, 0, 0, 0, 0, 0, 0, 0, 0
179.781798999999978, 0, 1, 0, 0, 0, 0, 0, 0, 0
179.787528999999978, 0, 1, 0, 0, 0, 1, 0, 0, 0
179.789200999999991, 0, 1, 0, 0, 0, 1, 0, 0, 1
179.988833999999997, 0, 1, 1, 0, 0, 1, 0, 0, 1
180.069347999999991, 0, 0, 1, 0, 0, 1, 0, 0, 1
180.074301999999989, 0, 0, 1, 0, 0, 1, 0, 0, 0
180.074386000000004, 0, 0, 1, 0, 0, 0, 0, 0, 0
180.275581999999986, 0, 0, 0, 0, 0, 0, 0, 0, 0
180.790652999999992, 0, 0, 0, 0, 0, 0, 0, 0, 1
181.075742999999989, 0, 0, 0, 0, 0, 0, 0, 0, 0
181.792705999999981, 0, 0, 0, 0, 0, 0, 0, 0, 1
181.811758999999995, 0, 0, 0, 0, 0, 0, 1, 0, 1
181.860023999999981, 0, 0, 0, 0, 1, 0, 1, 0, 1
181.985242000000000, 1, 0, 0, 0, 1, 0, 1, 0, 1
182.077789999999993, 1, 0, 0, 0, 1, 0, 1, 0, 0
182.095858999999990, 1, 0, 0, 0, 1, 0, 0, 0, 0
182.145528999999982, 1, 0, 0, 0, 0, 0, 0, 0, 0
182.271464999999978, 0, 0, 0, 0, 0, 0, 0, 0, 0
182.791634999999985, 0, 0, 0, 0, 0, 0, 0, 0, 1
182.791805999999980, 0, 0, 0, 1, 0, 0, 0, 0, 1
182.913793999999996, 0, 0, 0, 1, 0, 0, 0, 1, 1
183.076733999999988, 0, 0, 0, 1, 0, 0, 0, 1, 0
183.077148999999991, 0, 0, 0, 0, 0, 0, 0, 1, 0
183.200948999999980, 0, 0, 0, 0, 0, 0, 0, 0, 0
183.795609999999982, 0, 0, 0, 0, 0, 0, 0, 0, 1
184.080702000000002, 0, 0, 0, 0, 0, 0, 0, 0, 0
184.789056999999985, 0, 1, 0, 0, 0, 0, 0, 0, 0
184.794786999999985, 0, 1, 0, 0, 0, 1, 0, 0, 0
184.797060999999985, 0, 1, 0, 0, 0, 1, 0, 0, 1
185.034032999999994, 0, 1, 1, 0, 0, 1, 0, 0, 1
185.076612999999981, 0, 0, 1, 0, 0, 1, 0, 0, 1
185.081640999999991, 0, 0, 1, 0, 0, 0, 0, 0, 1
185.082155000000000, 0, 0, 1, 0, 0, 0, 0, 0, 0
185.319851999999997, 0, 0, 0, 0, 0, 0, 0, 0, 0
185.795989999999989, 0, 0, 0, 0, 0, 0, 0, 0, 1
186.081092999999981, 0, 0, 0, 0, 0, 0, 0, 0, 0
186.797504000000004, 0, 0, 0, 0, 1, 0, 0, 0, 0
186.799363000000000, 0, 0, 0, 0, 1, 0, 0, 0, 1
186.818654999999978, 0, 0, 0, 0, 1, 0, 1, 0, 1
187.066098999999980, 0, 0, 0, 0, 0, 0, 1, 0, 1
187.084458999999981, 0, 0, 0, 0, 0, 0, 1, 0, 0
187.105651999999992, 0, 0, 0, 0, 0, 0, 0, 0, 0
187.793235999999979, 1, 0, 0, 0, 0, 0, 0, 0, 0
187.800814000000003, 1, 0, 0, 0, 0, 0, 0, 0, 1
